StationCode,ChannelClass_3ef,Latitude,Longitude,Distance to upstream undeveloped,comments
SMC03216,Natural,34.28092,-117.84093,,
SMC03280,Natural,34.25685,-117.85652,,
SMC03452,Natural,34.30354,-117.8323,,
SMC03984,All or partially earthen,34.24613,-117.90186,,
SMC04000,Natural,34.23282,-117.74777,,
SMC12862,Hardened,33.92148,-118.11149,>15km,
SMC13630,Hardened,33.86119,-118.10351,>15km,
407M01516,Hardened,34.25539,-119.25498,9.5km,
SMC00479,Hardened,34.2634,-119.24095,8.5km,
SMC00036,All or partially earthen,34.21502,-118.87899,,
SMC00660,All or partially earthen,34.26784,-118.93781,,
408M03019,All or partially earthen,34.26742,-118.94037,,
SMC00836,All or partially earthen,34.19071,-119.00511,,
408CGCS12,Natural,34.19114,-119.00464,,
408BH5Axx,All or partially earthen,34.28327,-118.81091,,
408BH5Bxx,All or partially earthen,34.28236,-118.81168,,
408BH5Cxx,All or partially earthen,34.28098,-118.81234,,
408BH6Axx,All or partially earthen,34.2037,-119.00141,,
408BH6Bxx,All or partially earthen,34.20294,-119.00204,,
408BH6Cxx,All or partially earthen,34.2008,-119.00101,,
408CAL003,All or partially earthen,34.14722,-119.11837,,
408CAL004,Natural,34.1127,-119.08265,,
408CAL006,All or partially earthen,34.16443,-119.06255,,
408CAL007,All or partially earthen,34.19437,-119.00077,,
408CAL008,Natural,34.27387,-118.85857,,
408CAL012,All or partially earthen,34.27242,-118.78131,,
408CAL013,Hardened,34.27133,-118.74003,7.5km,
408CALBWC,Hardened,34.22848,-119.11343,13km,
408M03005,Hardened,34.27001,-118.74203,7km,
408M03015,Hardened,34.20947,-118.88115,8km,
408PS0032,All or partially earthen,34.1688,-119.05743,,
SMC02452,All or partially earthen,34.2733,-118.89985,,
SMC02536,Hardened,34.26861,-118.6736,4km,
SMC02644,All or partially earthen,34.18157,-118.88652,,
SMC03304,Hardened,34.28829,-118.72312,4.5km,
SMC03988,Natural,34.21322,-118.89766,,
SMC04008,All or partially earthen,34.28342,-118.80803,,
SMC04132,Hardened,34.21472,-118.88416,7.5km,
SMC05332,All or partially earthen,34.18682,-118.90741,,
SMC05524,All or partially earthen,34.27032,-118.91723,,
SMC05764,Hardened,34.23123,-119.11091,12.5km,
SMC05956,All or partially earthen,34.22875,-118.97109,,
SMC06036,All or partially earthen,34.23092,-118.9349,,
408ACCR3x,All or partially earthen,34.22722,-118.93194,,
408CGCS13,All or partially earthen,34.16781,-119.09272,,
408WE0654,All or partially earthen,34.16522,-119.09069,,
408WE1039,All or partially earthen,34.14743,-119.087,,
412BH1Axx,All or partially earthen,34.27392,-118.31529,,
412BH1Bxx,All or partially earthen,34.27241,-118.31836,,
412BH1Cxx,Natural,34.27276,-118.3222,,
412BH4Axx,Natural,34.20695,-118.16815,,
412BH4Bxx,All or partially earthen,34.20653,-118.16651,,
412BH4Cxx,Natural,34.20503,-118.16632,,
412CE0232,Hardened,34.15907,-118.45624,14km,
412CE0616,Hardened,34.15397,-118.42994,>15km,
412CE0732,Hardened,34.15513,-118.31261,>15km,
